name,frame,label,hhmr,height,dist,p40
fall-01,1,-1,1.0324,1899.5366,1055.9988,0.04731
fall-01,2,-1,1.1251,2070.1193,1065.9506,0.048175
fall-01,3,-1,1.0161,1869.6442,1055.4955,0.05018
fall-01,4,-1,1.1251,2070.1193,1076.1464,0.047877
fall-01,5,-1,1.1251,2070.1193,1075.5053,0.052543
fall-01,6,-1,1.0174,1872.0175,1065.8971,0.054923
fall-01,7,-1,0.98797,1817.8588,1076.0167,0.059575
fall-01,8,-1,0.97907,1801.4878,1074.7731,0.047814
fall-01,9,-1,0.97907,1801.4878,1067.8731,0.051043
fall-01,10,-1,1.1251,2070.1193,1090.5386,0.043643
fall-01,11,-1,0.98699,1816.0652,1100.8703,0.036992
fall-01,12,-1,1.0324,1899.5366,1081.0993,0.054751
fall-01,13,-1,0.97963,1802.5244,1087.9083,0.030188
fall-01,14,-1,0.85824,1579.1588,1014.2394,0.032016
fall-01,15,-1,0.98242,1807.6439,1108.4776,0.018218
fall-01,16,-1,0.99417,1829.2702,1094.8174,0.03607
fall-01,17,-1,1.0324,1899.5366,1135.4631,0.006521
fall-01,18,-1,1.1251,2070.1193,1154.8581,0.0043902
fall-01,19,-1,0.99301,1827.132,1131.6591,0.0042715
fall-01,20,-1,0.99499,1830.7773,1111.9615,0.019363
fall-01,21,-1,1.1251,2070.1193,1127.1908,0.0087391
fall-01,22,-1,1.1251,2070.1193,1136.2992,0.008258
fall-01,23,-1,1.1251,2070.1193,1123.0595,0.012511
fall-01,24,-1,0.98981,1821.2415,1115.522,0.0055467
fall-01,25,-1,1.1251,2070.1193,1116.1744,0.0051444
fall-01,26,-1,1.1251,2070.1193,1103.3767,0.0071878
fall-01,27,-1,1.0266,1888.9666,1091.961,0.0094968
fall-01,28,-1,1.0266,1888.9666,1083.1858,0.0072307
fall-01,29,-1,1.0266,1888.9666,1082.8269,0.0079753
fall-01,30,-1,1.1251,2070.1193,1085.9593,0.017428
fall-01,31,-1,0.98309,1808.8828,1025.4668,0.075424
fall-01,32,-1,1.0266,1888.9666,1022.521,0.07758
fall-01,33,-1,1.0266,1888.9666,1015.8821,0.088467
fall-01,34,-1,0.99732,1835.0649,1029.5435,0.073699
fall-01,35,-1,1.0125,1863.021,1026.1987,0.080654
fall-01,36,-1,0.98702,1816.1136,1019.9964,0.083611
fall-01,37,-1,1.1251,2070.1193,1021.4239,0.093618
fall-01,38,-1,1.1251,2070.1193,1034.6672,0.08178
fall-01,39,-1,1.0131,1864.0748,1028.7456,0.080225
fall-01,40,-1,0.97334,1790.9547,1036.9637,0.069592
